company,period,is_aggregator,n_posts,mean_pairwise_cos
"Certec, Inc.",2024,False,6,0.6147983074188232
CesiumAstro,2024,False,8,0.839309811592102
CesiumAstro,2026,False,14,0.818591296672821
"Changing Technologies, Inc.",2024,False,8,0.5391683578491211
Charles Schwab,2026,False,41,0.7203308939933777
ChatGPT Jobs,2026,False,11,0.6144262552261353
"Checkr, Inc.",2026,False,11,0.7622743248939514
Chewy,2026,False,25,0.6339589357376099
Chime,2026,False,9,0.753723680973053
"Chiron Technology Services, Inc.",2024,False,7,0.6561989784240723
Ciena,2026,False,5,0.6125030517578125
Cirrus Logic,2026,False,6,0.7395656704902649
Cisco,2024,False,6,0.555396318435669
Cisco,2026,False,50,0.6057695746421814
Cisco,2026,True,5,0.6515240669250488
Citigroup,2026,False,42,0.6138635277748108
City of New York,2024,False,9,0.5161669254302979
City of Philadelphia,2024,False,5,0.5174740552902222
Clay,2026,False,7,0.8408157825469971
Clear Street,2026,False,12,0.6558129191398621
ClearanceJobs,2024,True,901,0.5632551312446594
Clearwater Analytics,2026,False,9,0.6906646490097046
Cleerly,2026,False,8,0.7525773048400879
ClickJobs.io,2024,True,164,0.5876758694648743
Client Server Technology Solutions LLC,2026,False,6,0.6774066686630249
Cliff Services Inc,2026,False,7,0.6401049494743347
Cliff Services Inc,2026,True,10,0.7553340196609497
ClifyX,2026,False,6,0.4761309325695038
ClifyX,2026,True,7,0.7191013097763062
Cloudera,2026,False,11,0.6615958213806152
Cloudflare,2024,False,26,0.5528384447097778
Cloudflare,2026,False,32,0.8083717823028564
Clover,2024,False,10,0.6122402548789978
CoStar Group,2026,False,6,0.6595835089683533
Code Metal,2026,False,5,0.7812777757644653
CodeMonk,2024,False,25,0.6328853368759155
Codeworks IT Careers,2024,False,5,0.5238972902297974
Cognitiv,2026,False,5,0.6376379132270813
Cognizant,2024,True,20,0.5633177757263184
Cognizant,2026,True,38,0.599628210067749
Cohere,2026,False,8,0.75456702709198
Cohere Technology Group,2024,False,9,0.6461330056190491
Coherent Corp.,2026,False,6,0.5992376804351807
Coinbase,2026,False,9,0.6370639204978943
"Cole Engineering Services, Inc. (CESI), a By Light Company",2024,False,5,0.6639935970306396
Collabera,2024,True,18,0.48523858189582825
Collabera,2026,True,10,0.46935975551605225
Collibra,2026,False,6,0.6776902079582214
Collins Aerospace,2024,False,71,0.6369603872299194
Collins Aerospace,2026,False,39,0.7151685953140259
Columbia Technology Partners,2024,False,21,0.5991811156272888
Comcast,2026,False,9,0.5406569838523865
Commerce,2026,False,10,0.6920390725135803
