company_industry,arshkon,scraped,arshkon_pct,scraped_pct
"Utilities, Technology, Information and Media, and IT Services and IT Consulting",0,1,0.0,0.0
"Utilities, Energy Technology, and Services for Renewable Energy",0,1,0.0,0.0
"Utilities, Appliances, Electrical, and Electronics Manufacturing, and Renewable Energy Semiconductor Manufacturing",0,1,0.0,0.0
"Truck Transportation and Transportation, Logistics, Supply Chain and Storage",0,1,0.0,0.0
Truck Transportation and Railroad Equipment Manufacturing,0,2,0.0,0.01
"Travel Arrangements, Transportation, Logistics, Supply Chain and Storage, and Truck Transportation",0,1,0.0,0.0
Travel Arrangements and Hospitality,0,1,0.0,0.0
"Accounting, Computer and Network Security, and IT Services and IT Consulting",0,1,0.0,0.0
"Technology, Information and Media and IT Services and IT Consulting",0,1,0.0,0.0
Wholesale Building Materials and Internet Marketplace Platforms,0,1,0.0,0.0
Wholesale,0,11,0.0,0.05
"Wellness and Fitness Services, IT Services and IT Consulting, and Manufacturing",0,6,0.0,0.02
"Wellness and Fitness Services, Hospitals and Health Care, and Medical Practices",0,1,0.0,0.0
"Wellness and Fitness Services, Hospitals and Health Care, and Insurance",0,2,0.0,0.01
"Advertising Services, Software Development, and Research Services",0,2,0.0,0.01
"Advertising Services, Software Development, and Information Services",0,9,0.0,0.04
"Advertising Services, Real Estate, and Marketing Services",0,1,0.0,0.0
"Advertising Services, Marketing Services, and Technology, Information and Media",0,1,0.0,0.0
"Advertising Services, Marketing Services, and Software Development",0,1,0.0,0.0
"Advertising Services, Marketing Services, and IT Services and IT Consulting",0,2,0.0,0.01
"Advertising Services, IT Services and IT Consulting, and Software Development",0,66,0.0,0.27
"Advertising Services and Technology, Information and Media",0,2,0.0,0.01
Advertising Services and Marketing Services,0,1,0.0,0.0
Accounting and Business Consulting and Services,0,8,0.0,0.03
"Technology, Information and Media and Hospitals and Health Care",0,1,0.0,0.0
"Technology, Information and Media and Financial Services",0,1,0.0,0.0
"Technology, Information and Media and Data Infrastructure and Analytics",0,1,0.0,0.0
"Technology, Information and Internet, Wellness and Fitness Services, and Software Development",0,1,0.0,0.0
"Technology, Information and Internet, Telecommunications, and IT Services and IT Consulting",0,1,0.0,0.0
"Technology, Information and Internet, Software Development, and IT System Custom Software Development",0,1,0.0,0.0
"Technology, Information and Internet, Software Development, and IT Services and IT Consulting",0,29,0.0,0.12
"Technology, Information and Internet, Information Services, and Software Development",0,5,0.0,0.02
"Technology, Information and Internet, Financial Services, and Investment Banking",0,1,0.0,0.0
"Technology, Information and Internet, Financial Services, and Banking",0,1,0.0,0.0
"Technology, Information and Internet, Defense and Space Manufacturing, and Space Research and Technology",0,1,0.0,0.0
"Technology, Information and Internet, Data Infrastructure and Analytics, and IT System Data Services",0,1,0.0,0.0
"Technology, Information and Internet, Computer and Network Security, and Financial Services",0,1,0.0,0.0
"Transportation, Logistics, Supply Chain and Storage and Truck Transportation",0,2,0.0,0.01
"Wireless Services, Telecommunications, and Communications Equipment Manufacturing",0,10,0.0,0.04
"Telecommunications, Real Estate, and Construction",0,1,0.0,0.0
"Telecommunications, Information Services, and Technology, Information and Media",0,1,0.0,0.0
"Telecommunications, IT Services and IT Consulting, and Software Development",0,3,0.0,0.01
"Telecommunications, IT Services and IT Consulting, and Computer and Network Security",0,1,0.0,0.0
"Telecommunications and Technology, Information and Media",0,1,0.0,0.0
Telecommunications and Semiconductor Manufacturing,0,1,0.0,0.0
Telecommunications and Financial Services,0,1,0.0,0.0
"Technology, Information and Media, Software Development, and Technology, Information and Internet",0,1,0.0,0.0
"Technology, Information and Media, Motor Vehicle Manufacturing, and Financial Services",0,1,0.0,0.0
"Technology, Information and Media, Insurance, and Financial Services",0,1,0.0,0.0
"Technology, Information and Media, IT System Custom Software Development, and Internet Marketplace Platforms",0,1,0.0,0.0
"Technology, Information and Media, Engineering Services, and Software Development",0,1,0.0,0.0
"Technology, Information and Media, Embedded Software Products, and Software Development",0,2,0.0,0.01
Apparel & Fashion,0,5,0.0,0.02
"Telecommunications, Software Development, and IT Services and IT Consulting",0,1,0.0,0.0
"Semiconductor Manufacturing, Software Development, and Computer Hardware Manufacturing",0,11,0.0,0.05
"Semiconductor Manufacturing, Nanotechnology Research, and Industrial Machinery Manufacturing",0,1,0.0,0.0
Software Development and Staffing and Recruiting,0,1,0.0,0.0
Software Development and Spectator Sports,0,2,0.0,0.01
Software Development and Semiconductor Manufacturing,0,1,0.0,0.0
Software Development and Robotics Engineering,0,2,0.0,0.01
Software Development and Research Services,0,5,0.0,0.02
Software Development and Pharmaceutical Manufacturing,0,1,0.0,0.0
Software Development and Motor Vehicle Manufacturing,0,1,0.0,0.0
Software Development and Insurance,0,1,0.0,0.0
Software Development and Information Services,0,4,0.0,0.02
Software Development and IT System Testing and Evaluation,0,1,0.0,0.0
Software Development and IT System Custom Software Development,0,21,0.0,0.09
"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Medical Equipment Manufacturing",0,7,0.0,0.03
Software Development and Hospitals and Health Care,0,2,0.0,0.01
Software Development and Food and Beverage Retail,0,1,0.0,0.0
Software Development and Financial Services,0,11,0.0,0.05
Software Development and Entertainment Providers,0,1,0.0,0.0
"Software Development, Defense and Space Manufacturing, and Research Services",0,7,0.0,0.03
"Software Development, Consumer Services, and Technology, Information and Internet",0,7,0.0,0.03
"Software Development, Consumer Services, and Entertainment Providers",0,17,0.0,0.07
"Software Development, Computers and Electronics Manufacturing, and IT Services and IT Consulting",0,2,0.0,0.01
"Software Development, Computer and Network Security, and Technology, Information and Media",0,1,0.0,0.0
"Software Development, Computer Networking Products, and Technology, Information and Internet",0,2,0.0,0.01
"Software Development, Climate Technology Product Manufacturing, and Robotics Engineering",0,1,0.0,0.0
"Software Development, Capital Markets, and Financial Services",0,6,0.0,0.02
"Software Development, Business Consulting and Services, and IT Services and IT Consulting",0,1,0.0,0.0
"Software Development, Biotechnology Research, and Hospitals and Health Care",0,1,0.0,0.0
Software Development and IT Services and IT Consulting,0,75,0.0,0.31
Retail and Information Services,0,1,0.0,0.0
"Semiconductor Manufacturing, Engines and Power Transmission Equipment Manufacturing, and Electric Power Transmission, Control, and Distribution",0,1,0.0,0.0
"Semiconductor Manufacturing, Computers and Electronics Manufacturing, and Telecommunications",0,1,0.0,0.0
"Information Technology & Services and Technology, Information and Media",0,1,0.0,0.0
"Semiconductor Manufacturing, Chemical Manufacturing, and Plastics Manufacturing",0,1,0.0,0.0
"Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing",0,2,0.0,0.01
Semiconductor Manufacturing and Software Development,0,5,0.0,0.02
Semiconductor Manufacturing and IT System Custom Software Development,0,1,0.0,0.0
Semiconductor Manufacturing and Construction,0,1,0.0,0.0
Semiconductor Manufacturing and Computer Hardware Manufacturing,0,1,0.0,0.0
Security and Investigations and Construction,0,8,0.0,0.03
Security Systems Services,0,5,0.0,0.02
Satellite Telecommunications,0,4,0.0,0.02
"Robotics Engineering, Software Development, and Automation Machinery Manufacturing",0,1,0.0,0.0
"Semiconductor Manufacturing, Telecommunications, and Wireless Services",0,1,0.0,0.0
"Robotics Engineering, Industrial Machinery Manufacturing, and Manufacturing",0,1,0.0,0.0
Software Development and Energy Technology,0,1,0.0,0.0
Software Development and Design Services,0,1,0.0,0.0
Software Development and Defense and Space Manufacturing,0,9,0.0,0.04
Software Development and Data Infrastructure and Analytics,0,2,0.0,0.01
Software Development and Construction Hardware Manufacturing,0,1,0.0,0.0
Software Development and Computer and Network Security,0,8,0.0,0.03
Software Development and Broadcast Media Production and Distribution,0,1,0.0,0.0
Software Development and Banking,0,1,0.0,0.0
Software Development and Automation Machinery Manufacturing,0,2,0.0,0.01
Software Development and Advertising Services,0,1,0.0,0.0
Shipbuilding,0,1,0.0,0.0
"Services for Renewable Energy, Electric Power Transmission, Control, and Distribution, and IT Services and IT Consulting",0,1,0.0,0.0
"Semiconductors, Consumer Electronics, and Computer Hardware",0,3,0.0,0.01
"Robotics Engineering, Motor Vehicle Manufacturing, and Manufacturing",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Research Services",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Pharmaceutical Manufacturing",0,36,0.0,0.15
"Software Development, IT Services and IT Consulting, and Mental Health Care",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Information Services",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and IT System Custom Software Development",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Human Resources Services",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Hospitals and Health Care",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing and IT Services and IT Consulting",0,3,0.0,0.01
"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",0,1,0.0,0.0
"Software Development, Technology, Information and Media, and Consumer Services",0,2,0.0,0.01
"Software Development, Technology, Information and Internet, and Technology, Information and Media",0,88,0.0,0.37
"Software Development, Technology, Information and Internet, and Internet Publishing",0,1,0.0,0.0
"Software Development, Technology, Information and Internet, and IT Services and IT Consulting",0,13,0.0,0.05
"Software Development, Technology, Information and Internet, and Financial Services",0,22,0.0,0.09
"Software Development, Banking, and Capital Markets",0,1,0.0,0.0
"Software Development, Staffing and Recruiting, and IT System Custom Software Development",0,1,0.0,0.0
"Software Development, Spectator Sports, and Entertainment Providers",0,1,0.0,0.0
"Software Development, Robotics Engineering, and Transportation, Logistics, Supply Chain and Storage",0,1,0.0,0.0
"Software Development, Motor Vehicle Manufacturing, and Advertising Services",0,1,0.0,0.0
"Software Development, Information Services, and Technology, Information and Media",0,1,0.0,0.0
"Software Development, Information Services, and Technology, Information and Internet",0,1,0.0,0.0
"Software Development, Information Services, and Research Services",0,1,0.0,0.0
"Software Development, Information Services, and IT Services and IT Consulting",0,1,0.0,0.0
"Software Development, Technology, Information and Media, and Engineering Services",0,2,0.0,0.01
"Appliances, Electrical, and Electronics Manufacturing, Software Development, and Computer Hardware Manufacturing",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",0,5,0.0,0.02
"Appliances, Electrical, and Electronics Manufacturing, Medical Equipment Manufacturing, and Computers and Electronics Manufacturing",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing, Manufacturing, and Industrial Machinery Manufacturing",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Oil and Gas",0,5,0.0,0.02
"Software Development, Technology, Information and Internet, and Computer Networking Products",0,1,0.0,0.0
"Software Development, Architecture and Planning, and Construction",0,1,0.0,0.0
Software Development and Venture Capital and Private Equity Principals,0,3,0.0,0.01
"Software Development and Transportation, Logistics, Supply Chain and Storage",0,2,0.0,0.01
"Software Development and Technology, Information and Media",0,8,0.0,0.03
"Software Development and Technology, Information and Internet",0,2,0.0,0.01
"Software Development, IT Services and IT Consulting, and Financial Services",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Electric Power Generation",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Data Infrastructure and Analytics",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Computer Networking Products",0,2,0.0,0.01
"Software Development, IT Services and IT Consulting, and Business Consulting and Services",0,7,0.0,0.03
"Software Development, IT Services and IT Consulting, and Biotechnology Research",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Banking",0,1,0.0,0.0
"Software Development, Human Resources Services, and Staffing and Recruiting",0,2,0.0,0.01
"Software Development, Human Resources Services, and IT Services and IT Consulting",0,1,0.0,0.0
"Software Development, IT Services and IT Consulting, and Technology, Information and Internet",0,20,0.0,0.08
"Software Development, Health and Human Services, and Mental Health Care",0,1,0.0,0.0
"Software Development, Financial Services, and Technology, Information and Internet",0,130,0.0,0.54
"Software Development, Financial Services, and IT System Custom Software Development",0,1,0.0,0.0
"Software Development, Financial Services, and IT Services and IT Consulting",0,2,0.0,0.01
"Software Development, Financial Services, and Capital Markets",0,2,0.0,0.01
"Software Development, Design Services, and IT Services and IT Consulting",0,2,0.0,0.01
"Software Development, IT System Testing and Evaluation, and IT System Operations and Maintenance",0,1,0.0,0.0
"Software Development, IT System Custom Software Development, and Technology, Information and Media",0,2,0.0,0.01
"Software Development, IT System Custom Software Development, and Internet Marketplace Platforms",0,1,0.0,0.0
"Software Development, IT System Custom Software Development, and Insurance Carriers",0,1,0.0,0.0
"Software Development, IT System Custom Software Development, and Information Services",0,3,0.0,0.01
"Software Development, IT System Custom Software Development, and IT Services and IT Consulting",0,1,0.0,0.0
"Software Development, IT System Custom Software Development, and Engineering Services",0,1,0.0,0.0
"Software Development, IT System Custom Software Development, and Business Consulting and Services",0,1,0.0,0.0
"Software Development, Hospitals and Health Care, and IT Services and IT Consulting",0,2,0.0,0.01
Design,0,8,0.0,0.03
"Defense and Space Manufacturing, Telecommunications, and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.0
Energy Technology and Software Development,0,1,0.0,0.0
Energy Technology and Services for Renewable Energy,0,1,0.0,0.0
Energy Technology and Oil and Gas,0,1,0.0,0.0
Energy Technology,0,5,0.0,0.02
Embedded Software Products,0,2,0.0,0.01
Electronic and Precision Equipment Maintenance,0,4,0.0,0.02
"Electrical Equipment Manufacturing and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.0
"Electric Power Generation, Electric Power Transmission, Control, and Distribution, and Utilities",0,1,0.0,0.0
Electric Power Generation and Computer and Network Security,0,1,0.0,0.0
Education Management,0,2,0.0,0.01
"Education Administration Programs, Primary and Secondary Education, and Software Development",0,1,0.0,0.0
"Information Technology & Services, Software Development, and IT System Custom Software Development",0,1,0.0,0.0
"Education Administration Programs, E-Learning Providers, and Higher Education",0,1,0.0,0.0
Education Administration Programs and Higher Education,0,1,0.0,0.0
Education Administration Programs and E-Learning Providers,0,38,0.0,0.16
"Capital Markets, Financial Services, and Investment Management",0,1,0.0,0.0
"Engineering Services, Automation Machinery Manufacturing, and Aviation and Aerospace Component Manufacturing",0,1,0.0,0.0
"Engineering Services, Airlines and Aviation, and Aviation and Aerospace Component Manufacturing",0,1,0.0,0.0
Engineering Services and Telecommunications,0,1,0.0,0.0
Engineering Services and Motor Vehicle Manufacturing,0,3,0.0,0.01
Engineering Services and IT Services and IT Consulting,0,3,0.0,0.01
Engineering Services and Financial Services,0,1,0.0,0.0
Engineering Services and Defense and Space Manufacturing,0,1,0.0,0.0
Engineering Services and Data Infrastructure and Analytics,0,1,0.0,0.0
Engineering Services and Automation Machinery Manufacturing,0,1,0.0,0.0
"Energy Technology, Software Development, and Utilities",0,1,0.0,0.0
"Education Administration Programs, Higher Education, and Primary and Secondary Education",0,1,0.0,0.0
"Defense and Space Manufacturing, Technology, Information and Media, and Computer Hardware Manufacturing",0,1,0.0,0.0
"Defense and Space Manufacturing, Space Research and Technology, and Software Development",0,1,0.0,0.0
"Defense and Space Manufacturing, Space Research and Technology, and Engineering Services",0,1,0.0,0.0
"Defense and Space Manufacturing, Space Research and Technology, and Aviation and Aerospace Component Manufacturing",0,6,0.0,0.02
"Defense and Space Manufacturing, Software Development, and Robotics Engineering",0,1,0.0,0.0
"Defense and Space Manufacturing, Software Development, and IT System Design Services",0,1,0.0,0.0
"Defense and Space Manufacturing, Software Development, and IT System Custom Software Development",0,2,0.0,0.01
"Defense and Space Manufacturing, Software Development, and Armed Forces",0,1,0.0,0.0
"Defense and Space Manufacturing, Robotics Engineering, and Software Development",0,2,0.0,0.01
"Defense and Space Manufacturing, Robotics Engineering, and Automation Machinery Manufacturing",0,1,0.0,0.0
"Defense and Space Manufacturing, IT Services and IT Consulting, and Software Development",0,1,0.0,0.0
"Defense and Space Manufacturing, Government Relations Services, and IT Services and IT Consulting",0,1,0.0,0.0
"Defense and Space Manufacturing, Government Administration, and Software Development",0,1,0.0,0.0
"Design Services, Computer and Network Security, and Software Development",0,1,0.0,0.0
"Defense and Space Manufacturing, Engineering Services, and Aviation and Aerospace Component Manufacturing",0,1,0.0,0.0
"Capital Markets, Banking, and Financial Services",0,1,0.0,0.0
Capital Markets and Investment Management,0,1,0.0,0.0
Capital Markets and Financial Services,0,2,0.0,0.01
"Business Intelligence Platforms, Data Infrastructure and Analytics, and Information Services",0,1,0.0,0.0
Business Intelligence Platforms and Internet Publishing,0,3,0.0,0.01
"Business Consulting and Services, Professional Services, and Data Infrastructure and Analytics",0,1,0.0,0.0
"Business Consulting and Services, Motor Vehicle Manufacturing, and Retail Motor Vehicles",0,1,0.0,0.0
"Business Consulting and Services, Market Research, and Advertising Services",0,1,0.0,0.0
"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",0,17,0.0,0.07
"Business Consulting and Services, Financial Services, and Banking",0,1,0.0,0.0
"Business Consulting and Services, Capital Markets, and Investment Banking",0,1,0.0,0.0
"Business Consulting and Services, Capital Markets, and Financial Services",0,2,0.0,0.01
Economic Programs,0,1,0.0,0.0
"Defense and Space Manufacturing, Engineering Services, and Space Research and Technology",0,1,0.0,0.0
"Executive Offices, Government Administration, and Government Relations Services",0,3,0.0,0.01
Executive Offices,0,2,0.0,0.01
"Events Services, Internet Marketplace Platforms, and Financial Services",0,1,0.0,0.0
Environmental Services and Renewable Energy Semiconductor Manufacturing,0,4,0.0,0.02
Environmental Services and Industrial Machinery Manufacturing,0,2,0.0,0.01
"Financial Services, Capital Markets, and Investment Banking",0,2,0.0,0.01
"Financial Services, Capital Markets, and Engineering Services",0,1,0.0,0.0
"Financial Services, Banking, and Venture Capital and Private Equity Principals",0,1,0.0,0.0
"Financial Services, Banking, and Telecommunications",0,1,0.0,0.0
"Financial Services, Banking, and Investment Banking",0,8,0.0,0.03
"Financial Services, Banking, and Insurance",0,1,0.0,0.0
"Financial Services, Banking, and IT Services and IT Consulting",0,2,0.0,0.01
"Financial Services, Banking, and Capital Markets",0,2,0.0,0.01
"Energy Technology, Services for Renewable Energy, and Software Development",0,1,0.0,0.0
"Financial Services and Technology, Information and Media",0,2,0.0,0.01
Financial Services and Software Development,0,9,0.0,0.04
Financial Services and Research Services,0,1,0.0,0.0
Financial Services and Real Estate,0,1,0.0,0.0
Financial Services and Market Research,0,1,0.0,0.0
Financial Services and Investment Management,0,1,0.0,0.0
Financial Services and Insurance,0,7,0.0,0.03
"Financial Services, Investment Banking, and Capital Markets",0,1,0.0,0.0
"Financial Services, Investment Banking, and Banking",0,1,0.0,0.0
"Financial Services, Insurance, and Consumer Services",0,1,0.0,0.0
"Financial Services, Insurance, and Banking",0,1,0.0,0.0
"Financial Services, Insurance and Employee Benefit Funds, and Data Infrastructure and Analytics",0,1,0.0,0.0
"Financial Services, Information Services, and IT Services and IT Consulting",0,2,0.0,0.01
"Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",0,5,0.0,0.02
"Financial Services and Transportation, Logistics, Supply Chain and Storage",0,2,0.0,0.01
"Energy Technology, Services for Renewable Energy, and Semiconductor Manufacturing",0,1,0.0,0.0
"Energy Technology, IT Services and IT Consulting, and Services for Renewable Energy",0,1,0.0,0.0
"Energy Technology, Electric Power Transmission, Control, and Distribution, and Electric Power Generation",0,1,0.0,0.0
"Energy Technology, Climate Technology Product Manufacturing, and Technology, Information and Media",0,1,0.0,0.0
Energy Technology and Utilities,0,1,0.0,0.0
Environmental Services and IT Services and IT Consulting,0,1,0.0,0.0
"Entertainment Providers, Technology, Information and Media, and Broadcast Media Production and Distribution",0,1,0.0,0.0
"Entertainment Providers, Broadcast Media Production and Distribution, and Technology, Information and Media",0,1,0.0,0.0
"Entertainment Providers and Technology, Information and Media",0,2,0.0,0.01
Entertainment Providers and Online Audio and Video Media,0,2,0.0,0.01
Entertainment Providers and IT Services and IT Consulting,0,1,0.0,0.0
Entertainment Providers and Broadcast Media Production and Distribution,0,5,0.0,0.02
Entertainment,0,1,0.0,0.0
"Engines and Power Transmission Equipment Manufacturing, Engineering Services, and Civil Engineering",0,1,0.0,0.0
Fabricated Metal Products and Semiconductor Manufacturing,0,1,0.0,0.0
"Engineering Services, Software Development, and Technology, Information and Media",0,1,0.0,0.0
"Engineering Services, Research Services, and Space Research and Technology",0,1,0.0,0.0
"Engineering Services, Motor Vehicle Manufacturing, and Motor Vehicle Parts Manufacturing",0,1,0.0,0.0
"Engineering Services, Medical Equipment Manufacturing, and Manufacturing",0,1,0.0,0.0
"Engineering Services, Information Services, and Technology, Information and Media",0,1,0.0,0.0
"Engineering Services, Design Services, and Semiconductor Manufacturing",0,1,0.0,0.0
Financial Services and IT Services and IT Consulting,0,7,0.0,0.03
Financial Services and Hospitals and Health Care,0,7,0.0,0.03
Financial Services and Engineering Services,0,1,0.0,0.0
Financial Services and Capital Markets,0,1,0.0,0.0
Financial Services and Business Consulting and Services,0,1,0.0,0.0
Financial Services and Banking,0,12,0.0,0.05
Financial Services and Advertising Services,0,3,0.0,0.01
"Facilities Services, Real Estate, and Industrial Machinery Manufacturing",0,1,0.0,0.0
"Engineering Services, Technology, Information and Media, and Software Development",0,1,0.0,0.0
"Computer Games, Graphic Design, and Consumer Services",0,1,0.0,0.0
"Wireless Services, IT Services and IT Consulting, and Telecommunications",0,2,0.0,0.01
Wholesale Motor Vehicles and Parts,0,1,0.0,0.0
Wholesale Metals and Minerals,0,1,0.0,0.0
Wholesale Footwear,0,1,0.0,0.0
Wholesale Food and Beverage,0,1,0.0,0.0
"Wholesale Building Materials, Computers and Electronics Manufacturing, and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.0
"Computer and Network Security, Software Development, and IT Services and IT Consulting",0,8,0.0,0.03
"Computer and Network Security, Software Development, and Defense and Space Manufacturing",0,2,0.0,0.01
"Computer and Network Security, Government Administration, and IT Services and IT Consulting",0,2,0.0,0.01
"Computer and Network Security, Defense and Space Manufacturing, and Semiconductor Manufacturing",0,1,0.0,0.0
Computer and Network Security and Software Development,0,1,0.0,0.0
Computer and Network Security and IT Services and IT Consulting,0,1,0.0,0.0
"Defense and Space Manufacturing, Technology, Information and Media, and Software Development",0,1,0.0,0.0
Computer Networking and Computer and Network Security,0,2,0.0,0.01
"Computer Networking Products, Technology, Information and Internet, and Software Development",0,1,0.0,0.0
"Computer Networking Products, Software Development, and Writing and Editing",0,1,0.0,0.0
"Computer Networking Products, Software Development, and Technology, Information and Internet",0,6,0.0,0.02
"Computer Networking Products, Software Development, and Computer and Network Security",0,1,0.0,0.0
"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting",0,22,0.0,0.09
"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",0,54,0.0,0.22
"Computer Hardware Manufacturing, Semiconductor Manufacturing, and Magnetic and Optical Media Manufacturing",0,1,0.0,0.0
"Computer Hardware Manufacturing, Defense and Space Manufacturing, and IT Services and IT Consulting",0,9,0.0,0.04
"Computers and Electronics Manufacturing and Appliances, Electrical, and Electronics Manufacturing",0,1,0.0,0.0
Computers and Electronics Manufacturing and Advertising Services,0,1,0.0,0.0
Commercial and Industrial Machinery Maintenance,0,1,0.0,0.0
Climate Technology Product Manufacturing,0,1,0.0,0.0
Climate Data and Analytics,0,2,0.0,0.01
Computer and Network Security and Computers and Electronics Manufacturing,0,1,0.0,0.0
"Accounting, IT Services and IT Consulting, and Business Consulting and Services",0,340,0.0,1.41
Administrative and Support Services,0,1,0.0,0.0
"Transportation, Logistics, Supply Chain and Storage and Warehousing and Storage",0,2,0.0,0.01
"Wholesale Building Materials and Technology, Information and Media",0,1,0.0,0.0
"Appliances, Electrical, and Electronics Manufacturing and Audio and Video Equipment Manufacturing",0,1,0.0,0.0
"Accounting, Financial Services, and Business Consulting and Services",0,236,0.0,0.98
Animation and Post-production,0,1,0.0,0.0
"Alternative Medicine, Hospitals and Health Care, and Mental Health Care",0,4,0.0,0.02
Alternative Medicine,0,1,0.0,0.0
"Alternative Fuel Vehicle Manufacturing, Motor Vehicle Manufacturing, and Agriculture, Construction, Mining Machinery Manufacturing",0,1,0.0,0.0
"Alternative Dispute Resolution, Law Practice, and Legal Services",0,2,0.0,0.01
"Airlines and Aviation, IT Services and IT Consulting, and Security and Investigations",0,6,0.0,0.02
"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Software Development",0,2,0.0,0.01
"Computer Games, Online Audio and Video Media, and Advertising Services",0,2,0.0,0.01
"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Consumer Services",0,1,0.0,0.0
"Advertising Services, Technology, Information and Internet, and Retail",0,1,0.0,0.0
Transportation/Trucking/Railroad and Civil Engineering,0,1,0.0,0.0
Transportation/Trucking/Railroad,0,3,0.0,0.01
"Transportation, Logistics, Supply Chain and Storage, Software Development, and IT System Custom Software Development",0,1,0.0,0.0
"Transportation, Logistics, Supply Chain and Storage and Wholesale",0,1,0.0,0.0
Advertising Services and Market Research,0,1,0.0,0.0
"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",0,7,0.0,0.03
"Computer Hardware Manufacturing, Computer Networking Products, and Software Development",0,1,0.0,0.0
"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing",0,3,0.0,0.01
"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computers and Electronics Manufacturing",0,17,0.0,0.07
Computer Hardware Manufacturing and Software Development,0,8,0.0,0.03
Computer Hardware Manufacturing and Computers and Electronics Manufacturing,0,1,0.0,0.0
"Computer Games, Software Development, and Technology, Information and Internet",0,11,0.0,0.05
"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",0,34,0.0,0.14
"Data Infrastructure and Analytics, IT System Data Services, and Engineering Services",0,1,0.0,0.0
"Data Infrastructure and Analytics, Construction, and Business Consulting and Services",0,1,0.0,0.0
"Consumer Services, Technology, Information and Media, and Internet Marketplace Platforms",0,1,0.0,0.0
"Consumer Services, Technology, Information and Internet, and Sporting Goods Manufacturing",0,1,0.0,0.0
"Consumer Services, Personal Care Product Manufacturing, and Retail",0,1,0.0,0.0
"Consumer Services, IT Services and IT Consulting, and IT System Data Services",0,1,0.0,0.0
"Consumer Services, Financial Services, and IT Services and IT Consulting",0,4,0.0,0.02
"Consumer Services, Facilities Services, and Recreational Facilities",0,1,0.0,0.0
Consumer Services and Retail Health and Personal Care Products,0,1,0.0,0.0
Consumer Services and Financial Services,0,3,0.0,0.01
Consumer Goods,0,4,0.0,0.02
"Construction, Wholesale Building Materials, and Civil Engineering",0,1,0.0,0.0
"Defense and Space Manufacturing, Computer and Network Security, and Technology, Information and Media",0,1,0.0,0.0
"Civil Engineering, Public Safety, and Truck Transportation",0,5,0.0,0.02
"Defense and Space Manufacturing, Airlines and Aviation, and Semiconductor Manufacturing",0,4,0.0,0.02
Defense and Space Manufacturing and Telecommunications,0,29,0.0,0.12
Defense and Space Manufacturing and Space Research and Technology,0,12,0.0,0.05
Defense and Space Manufacturing and Software Development,0,1,0.0,0.0
Defense and Space Manufacturing and Military and International Affairs,0,1,0.0,0.0
Defense and Space Manufacturing and IT Services and IT Consulting,0,1,0.0,0.0
Defense and Space Manufacturing and Government Administration,0,1,0.0,0.0
Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing,0,10,0.0,0.04
Defense & Space and Software Development,0,1,0.0,0.0
Defense & Space and Engineering Services,0,1,0.0,0.0
Data Security Software Products and Software Development,0,1,0.0,0.0
"Data Infrastructure and Analytics, Technology, Information and Media, and Public Health",0,1,0.0,0.0
"Data Infrastructure and Analytics, Technology, Information and Media, and Capital Markets",0,1,0.0,0.0
"Data Infrastructure and Analytics, Technology, Information and Internet, and Technology, Information and Media",0,1,0.0,0.0
"Defense and Space Manufacturing, Aviation and Aerospace Component Manufacturing, and Armed Forces",0,1,0.0,0.0
