term,count_a,count_b,freq_a,freq_b,z_score,abs_z,category
scaling,16,178,6.042706830524734e-05,0.00020427813500948516,-4.667596634291955,4.667596634291955,
membership,47,63,0.00017750451314666404,7.230068823369419e-05,4.659918178482622,4.659918178482622,
visual,58,87,0.0002190481226065216,9.984380756081578e-05,4.634825658516988,4.634825658516988,
source,114,602,0.00043054286167488727,0.0006908732431219666,-4.634318743038393,4.634318743038393,
cash,22,204,8.308721891971509e-05,0.00023411651428053356,-4.617290618339519,4.617290618339519,
truist,18,9,6.798045184340325e-05,1.0328669747670599e-05,4.615886555257071,4.615886555257071,
optional,25,21,9.441729422694896e-05,2.4100229411231395e-05,4.613281690239,4.613281690239,
religion,369,914,0.0013935992627897666,0.0010489337943745474,4.608427263235108,4.608427263235108,
assessment,49,68,0.00018505789668481996,7.803883809351119e-05,4.60789037982363,4.60789037982363,
inquiries,32,250,0.00012085413661049468,0.00028690749299084995,-4.606310695851828,4.606310695851828,
lunar,16,5,6.042706830524734e-05,5.738149859816999e-06,4.595913564140678,4.595913564140678,
experiences,151,748,0.0005702804571307718,0.0008584272190286231,-4.589605143731697,4.589605143731697,
able,245,568,0.0009252894834240998,0.000651853824075211,4.583620635075597,4.583620635075597,
activity,33,36,0.00012463082837957262,4.1314678990682396e-05,4.581601232265931,4.581601232265931,
instructions,35,40,0.00013218421191772854,4.590519887853599e-05,4.569523311569057,4.569523311569057,
contractors,27,25,0.00010197067776510488,2.8690749299084996e-05,4.569016579570915,4.569016579570915,
man,16,3,6.042706830524734e-05,3.4428899158901995e-06,4.555952729865441,4.555952729865441,
interface,94,173,0.00035500902629332807,0.00019853998514966816,4.535367092487677,4.535367092487677,
assist,147,307,0.0005551736900544599,0.0003523224013927637,4.533830138146901,4.533830138146901,
vision,359,890,0.001355832345098987,0.0010213906750474258,4.532126529340749,4.532126529340749,
zone,23,205,8.686391068879305e-05,0.00023526414425249697,-4.531905629623548,4.531905629623548,
shift,47,65,0.00017750451314666404,7.459594817762099e-05,4.52762629222859,4.52762629222859,
limited,210,475,0.0007931052715063713,0.0005451242366826149,4.525018587191479,4.525018587191479,
implement,276,1227,0.0010423669282655166,0.0014081419755990914,-4.523636342707863,4.523636342707863,
emergency,25,22,9.441729422694896e-05,2.5247859383194795e-05,4.512211515457933,4.512211515457933,
roles,120,619,0.00045320301228935503,0.0007103829526453445,-4.510689970698454,4.510689970698454,
aerospace,57,87,0.00021527143083744364,9.984380756081578e-05,4.508554582653388,4.508554582653388,
advance,71,119,0.0002681451156045351,0.00013656796666364457,4.4991556792053204,4.4991556792053204,
paid,454,1165,0.0017146180631613932,0.0013369889173373607,4.499127911996527,4.499127911996527,
competitive,268,636,0.001012153394112893,0.0007298926621687223,4.490185636222047,4.490185636222047,
