source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap
scraped,2026-03,director,36,6.666666666666667,7.0,4.0,9.0,requirement_breadth,llm,none
scraped,2026-03,entry,223,4.242152466367713,4.0,2.0,6.0,requirement_breadth,llm,none
scraped,2026-03,mid-senior,1891,5.739820200951877,5.0,3.0,8.0,requirement_breadth,llm,none
scraped,2026-03,unknown,1814,4.886990077177508,4.0,2.0,7.0,requirement_breadth,llm,none
scraped,2026-04,associate,13,4.846153846153846,5.0,4.0,6.0,requirement_breadth,llm,none
scraped,2026-04,director,16,8.625,6.0,3.75,15.25,requirement_breadth,llm,none
scraped,2026-04,entry,62,4.370967741935484,4.0,2.0,6.75,requirement_breadth,llm,none
scraped,2026-04,mid-senior,1010,5.76039603960396,5.0,3.0,8.0,requirement_breadth,llm,none
scraped,2026-04,unknown,886,4.715575620767495,4.0,2.0,6.0,requirement_breadth,llm,none
kaggle_arshkon,2024-04,associate,15,2.1333333333333333,2.0,2.0,3.0,credential_stack_depth,llm,none
kaggle_arshkon,2024-04,director,13,2.769230769230769,3.0,2.0,3.0,credential_stack_depth,llm,none
kaggle_arshkon,2024-04,entry,175,1.8285714285714285,2.0,1.0,2.0,credential_stack_depth,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,2.4055366682855754,2.0,2.0,3.0,credential_stack_depth,llm,none
kaggle_arshkon,2024-04,unknown,2417,2.0384774513860155,2.0,1.0,3.0,credential_stack_depth,llm,none
kaggle_asaniczka,2024-01,associate,8,2.5,2.0,1.75,4.0,credential_stack_depth,llm,none
kaggle_asaniczka,2024-01,director,72,2.125,2.0,1.75,3.0,credential_stack_depth,llm,none
kaggle_asaniczka,2024-01,entry,149,1.8523489932885906,2.0,1.0,2.0,credential_stack_depth,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,2.2882941688424716,2.0,2.0,3.0,credential_stack_depth,llm,none
kaggle_asaniczka,2024-01,unknown,6153,2.0440435559889485,2.0,1.0,3.0,credential_stack_depth,llm,none
scraped,2026-03,associate,15,2.4,2.0,2.0,3.0,credential_stack_depth,llm,none
scraped,2026-03,director,36,2.9722222222222223,3.0,2.0,4.0,credential_stack_depth,llm,none
scraped,2026-03,entry,223,2.125560538116592,2.0,1.0,3.0,credential_stack_depth,llm,none
scraped,2026-03,mid-senior,1891,2.7567424643046006,3.0,2.0,4.0,credential_stack_depth,llm,none
scraped,2026-03,unknown,1814,2.4371554575523704,2.0,2.0,3.0,credential_stack_depth,llm,none
scraped,2026-04,associate,13,2.3846153846153846,2.0,2.0,3.0,credential_stack_depth,llm,none
scraped,2026-04,director,16,3.5,3.5,3.0,4.25,credential_stack_depth,llm,none
scraped,2026-04,entry,62,2.096774193548387,2.0,1.0,3.0,credential_stack_depth,llm,none
scraped,2026-04,mid-senior,1010,2.779207920792079,3.0,2.0,4.0,credential_stack_depth,llm,none
scraped,2026-04,unknown,886,2.386004514672686,2.0,2.0,3.0,credential_stack_depth,llm,none
kaggle_arshkon,2024-04,associate,15,813.2666666666667,568.0,358.5,1181.0,text_len,llm,none
kaggle_arshkon,2024-04,director,13,910.6923076923077,798.0,678.0,1188.0,text_len,llm,none
kaggle_arshkon,2024-04,entry,175,634.9771428571429,629.0,384.5,850.5,text_len,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,709.3118018455561,654.0,426.5,937.0,text_len,llm,none
kaggle_arshkon,2024-04,unknown,2417,612.3839470417873,551.0,319.0,839.0,text_len,llm,none
kaggle_asaniczka,2024-01,associate,8,626.625,589.5,443.75,836.25,text_len,llm,none
kaggle_asaniczka,2024-01,director,72,750.6111111111111,742.5,597.75,937.5,text_len,llm,none
kaggle_asaniczka,2024-01,entry,149,546.3691275167786,482.0,310.0,738.0,text_len,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,706.2488033072236,640.0,429.75,914.0,text_len,llm,none
kaggle_asaniczka,2024-01,unknown,6153,616.1116528522672,558.0,342.0,797.0,text_len,llm,none
scraped,2026-03,associate,15,785.7333333333333,746.0,477.0,1055.5,text_len,llm,none
scraped,2026-03,director,36,1010.7222222222222,956.0,748.75,1312.25,text_len,llm,none
scraped,2026-03,entry,223,734.3497757847533,685.0,498.0,962.5,text_len,llm,none
scraped,2026-03,mid-senior,1891,905.8313061872026,846.0,591.0,1140.5,text_len,llm,none
scraped,2026-03,unknown,1814,787.784454244763,721.5,503.0,986.0,text_len,llm,none
scraped,2026-04,associate,13,936.3076923076923,937.0,731.0,1124.0,text_len,llm,none
scraped,2026-04,director,16,1317.625,1192.0,855.75,1873.75,text_len,llm,none
scraped,2026-04,entry,62,756.0,745.5,541.5,892.0,text_len,llm,none
scraped,2026-04,mid-senior,1010,908.1455445544555,831.5,619.0,1134.75,text_len,llm,none
scraped,2026-04,unknown,886,799.538374717833,743.0,511.0,1029.75,text_len,llm,none
kaggle_arshkon,2024-04,associate,15,3.283346325470626,1.392757660167131,0.0,3.745743910518126,tech_density,llm,none
kaggle_arshkon,2024-04,director,13,3.5298814282097055,2.816901408450704,2.032520325203252,4.566210045662101,tech_density,llm,none
kaggle_arshkon,2024-04,entry,175,3.7607517226428078,2.952755905511811,1.1428571428571428,5.617977528089888,tech_density,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,5.798064529357795,4.1928721174004195,1.7123287671232876,7.668711656441718,tech_density,llm,none
kaggle_arshkon,2024-04,unknown,2417,5.788022632816109,3.7617569645569384,0.8797040998825769,8.0,tech_density,llm,none
kaggle_asaniczka,2024-01,associate,8,3.7315308180024305,2.9379322652359554,0.6162695152013147,5.515583950322427,tech_density,llm,none
kaggle_asaniczka,2024-01,director,72,2.913004340196717,0.9757790072054602,0.0,4.60138064187097,tech_density,llm,none
kaggle_asaniczka,2024-01,entry,149,5.813435356322773,3.9682539682539684,1.3869625520110958,8.16326530612245,tech_density,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,5.759554391817061,3.5014005602240896,0.9115770282588879,7.8125,tech_density,llm,none
kaggle_asaniczka,2024-01,unknown,6153,5.594860572245316,3.2410548200021885,0.0,7.536505503033056,tech_density,llm,none
scraped,2026-03,associate,15,8.69500819099443,5.253940455341506,2.1571119120513362,8.589163952912411,tech_density,llm,none
scraped,2026-03,director,36,4.4192734335159995,4.285714285714286,1.7331332189822757,6.11967728872691,tech_density,llm,none
scraped,2026-03,entry,223,3.735524681961916,2.6881720430107525,0.0,5.627100550496895,tech_density,llm,none
scraped,2026-03,mid-senior,1891,4.369760825766977,3.236245954692557,1.1641443538998837,6.147540983606557,tech_density,llm,none
scraped,2026-03,unknown,1814,4.44371982525761,3.1512605042016806,0.9541993420759116,6.329113924050633,tech_density,llm,none
scraped,2026-04,associate,13,3.7708066888795697,3.3250207813798838,1.9723865877712032,4.448398576512456,tech_density,llm,none
scraped,2026-04,director,16,3.973285289412015,3.911716796292472,1.0787213353861114,5.791037591757768,tech_density,llm,none
scraped,2026-04,entry,62,3.368292489632553,2.6793326026062596,0.0,5.5704555181019515,tech_density,llm,none
scraped,2026-04,mid-senior,1010,4.220811841138191,3.3840947546531304,1.2406947890818858,6.170300287947347,tech_density,llm,none
scraped,2026-04,unknown,886,4.1479449230534815,2.7777777777777777,0.9049773755656109,5.692599620493358,tech_density,llm,none
kaggle_arshkon,2024-04,associate,15,0.5548847571101398,0.0,0.0,0.37425149700598803,scope_density,llm,none
kaggle_arshkon,2024-04,director,13,0.25950851866710656,0.0,0.0,0.0,scope_density,llm,none
kaggle_arshkon,2024-04,entry,175,0.22993508913257146,0.0,0.0,0.0,scope_density,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,0.4492935742603698,0.0,0.0,0.8176614881439084,scope_density,llm,none
kaggle_arshkon,2024-04,unknown,2417,0.32539699694737767,0.0,0.0,0.0,scope_density,llm,none
kaggle_asaniczka,2024-01,associate,8,0.7132626019446466,0.0,0.0,0.24727992087042533,scope_density,llm,none
kaggle_asaniczka,2024-01,director,72,0.3331496458797402,0.0,0.0,0.0,scope_density,llm,none
kaggle_asaniczka,2024-01,entry,149,0.2829094846937866,0.0,0.0,0.0,scope_density,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,0.3803291856845494,0.0,0.0,0.0,scope_density,llm,none
kaggle_asaniczka,2024-01,unknown,6153,0.33897715208859325,0.0,0.0,0.0,scope_density,llm,none
scraped,2026-03,associate,15,0.1428768053004523,0.0,0.0,0.0,scope_density,llm,none
scraped,2026-03,director,36,0.6064918760493375,0.6188118811881188,0.0,1.0163115945247245,scope_density,llm,none
scraped,2026-03,entry,223,0.4352894212467147,0.0,0.0,0.8437782475320109,scope_density,llm,none
scraped,2026-03,mid-senior,1891,0.7099865125986696,0.0,0.0,1.2135922330097086,scope_density,llm,none
scraped,2026-03,unknown,1814,0.5855947262449775,0.0,0.0,1.0810810810810811,scope_density,llm,none
scraped,2026-04,associate,13,0.2970756834249395,0.0,0.0,0.6574621959237343,scope_density,llm,none
scraped,2026-04,director,16,0.7119267484190899,0.5957710109959244,0.0,1.1126516975510445,scope_density,llm,none
scraped,2026-04,entry,62,0.5784579711873854,0.0,0.0,1.2040952270620946,scope_density,llm,none
scraped,2026-04,mid-senior,1010,0.6826473738517804,0.0,0.0,1.2531328320802004,scope_density,llm,none
scraped,2026-04,unknown,886,0.4966963363748599,0.0,0.0,0.9124087591240876,scope_density,llm,none
