title_normalized,source,n
systems engineer - wuit,kaggle_asaniczka,3
systems engineer / systems engineer,kaggle_asaniczka,3
systems engineer chief,kaggle_asaniczka,3
systems engineer – enterprise/production,kaggle_asaniczka,3
"systems engineer, cortex specialist - majors",kaggle_asaniczka,3
systems engineer- cortex specialist,kaggle_asaniczka,3
traction power systems engineer,kaggle_asaniczka,3
trading systems engineer,kaggle_asaniczka,3
triage software engineer,kaggle_asaniczka,3
"web developer python phoenix, az ( onsite day )",kaggle_asaniczka,3
web engineer,kaggle_asaniczka,3
data engineer - manager,scraped,38
ai data engineer - consultant,scraped,34
software engineer - enterprise integrations,scraped,30
ai data engineer - manager,scraped,28
remote software developer,scraped,26
data engineer - associate,scraped,21
"software engineer, checkout (pba core)",scraped,21
software engineer - backend (python),scraped,16
ai full stack engineer manager,scraped,15
software engineer - web platform,scraped,15
"data engineer – financial data, compliance & business intelligence",scraped,14
frontend engineer - core scribd (react),scraped,14
"frontend engineer (discovery applications), react",scraped,13
remote software engineer,scraped,13
remote software engineer (us),scraped,13
machine learning engineer - remote - usa,scraped,11
software engineer (.net + data) - remote - usa,scraped,11
frontend javascript developer- ai training,scraped,10
go/golang software engineer - ai training,scraped,10
c++ software engineer - ai training,scraped,9
python developer - ai training,scraped,9
"forward deployed ai engineer, united states - bcg x",scraped,8
software engineer - cloud infrastructure and devops,scraped,8
engineer-software development,scraped,7
go/golang developer - ai training,scraped,7
power platform engineer,scraped,7
rust developer - ai training,scraped,7
front-end software engineer - consultant,scraped,6
"software development engineer - bios, aws hardware engineering, firmware development",scraped,6
software engineer – telecom billing,scraped,6
"software engineer, cloud performance",scraped,6
"ai-native engineering manager, full stack",scraped,5
"data engineer , aws commerce platform-adc",scraped,5
embedded software engineer - viasat government,scraped,5
python software engineer - ai training,scraped,5
software engineer sys,scraped,5
. software engineer - java / springboot / aws,scraped,4
ai engineer intern,scraped,4
c++ software engineer (autonomous systems),scraped,4
"frontend engineer, ai observability & evals platform",scraped,4
machine learning data engineer,scraped,4
"software development engineer, amazon leo for government",scraped,4
software engineer - ai & underwriting platforms,scraped,4
software engineer - ctj - poly,scraped,4
"software engineer - front end ai (bangkok based, relocation provided)",scraped,4
"software engineer, developer productivity async",scraped,4
"software engineer, next generation architecture - eda infrastructure",scraped,4
"software engineer, reliability",scraped,4
"software engineer, traffic",scraped,4
"veeva, associate software engineer - seeking 2025 & 2026 grads - application via wayup",scraped,4
", software engineer- android",scraped,3
". , machine learning engineer (enterprise platforms technology)",scraped,3
agentic software engineer,scraped,3
associate full stack ai engineer,scraped,3
data engineer (remote-eligible),scraped,3
data engineer - oracle dba - oci,scraped,3
"data engineer,",scraped,3
embedded software engineer (rtos / arm / drivers),scraped,3
full stack ai engineer,scraped,3
golang engineer - 100% remote,scraped,3
"hands-on cto (full-stack, ai)",scraped,3
"machine learning engineer, reinforcement learning",scraped,3
payload software engineer - terawave,scraped,3
quality software engineer,scraped,3
quantum pro software engineer,scraped,3
satellite flight software engineer - terawave,scraped,3
"security software engineer, infrastructure security ( or )",scraped,3
"site reliability engineer,",scraped,3
software engineer (python / django),scraped,3
"software engineer , full stack, commerce",scraped,3
"software engineer - (python, kubernetes, iac)",scraped,3
software engineer - automation,scraped,3
software engineer - check modernization and adjustment team,scraped,3
software engineer - early career (usa),scraped,3
software engineer - notification platform,scraped,3
software engineer - xr,scraped,3
software engineer backend/platform systems (full time) – united states,scraped,3
"software engineer, ai accelerated sdlc",scraped,3
"software engineer, back end (global payment network)",scraped,3
"software engineer, backend - gtpn sf",scraped,3
"software engineer, data center infrastructure tooling",scraped,3
"software engineer, embedded systems, quantum ai",scraped,3
"software engineer, frontend - cloud platform",scraped,3
"software engineer, inference deployment",scraped,3
"software engineer, infrastructure automation and distributed systems",scraped,3
"software engineer, nix",scraped,3
"software engineer, trust",scraped,3
splunk data engineer,scraped,3
"systems engineer, data",scraped,3
"systems software engineer, infrastructure platform",scraped,3
