subset,source,column,rows,non_null,non_null_rate,distinct
all,scraped,yoe_resolution_rule,253626,253626,1.0,12
all,scraped,yoe_all_mentions_json,253626,174951,0.6897991530836743,131683
all,scraped,yoe_seniority_contradiction,253626,253626,1.0,2
all,scraped,city_extracted,253626,243461,0.9599213014438582,3425
all,scraped,state_normalized,253626,226067,0.8913400045736636,34
all,scraped,country_extracted,253626,227065,0.8952749323807496,4
all,scraped,is_remote_inferred,253626,253626,1.0,1
all,scraped,metro_area,253626,200737,0.7914685402916105,26
all,scraped,metro_source,253626,253626,1.0,3
all,scraped,metro_confidence,253626,253626,1.0,2
all,scraped,period,253626,253626,1.0,2
all,scraped,scrape_week,253626,253626,1.0,5
all,scraped,date_flag,253626,253626,1.0,1
all,scraped,is_english,253626,253626,1.0,1
all,scraped,description_hash,253626,253626,1.0,246435
all,scraped,ghost_job_risk,253626,253626,1.0,3
all,scraped,description_quality_flag,253626,253626,1.0,2
all,scraped,preprocessing_version,253626,253626,1.0,1
all,scraped,dedup_method,253626,253626,1.0,1
all,scraped,analysis_group,253626,94263,0.3716614227247995,3
all,scraped,selection_date_bin,253626,253626,1.0,26
all,scraped,analysis_in_scope,253626,253626,1.0,2
all,scraped,eligible_for_extraction,253626,253626,1.0,2
all,scraped,llm_text_skip_reason,253626,21,8.279908211303258e-05,1
all,scraped,description_core_llm,253626,32787,0.1292730240590476,32504
all,scraped,extraction_input_hash,253626,253626,1.0,253626
all,scraped,selected_for_llm_frame,253626,253626,1.0,2
all,scraped,selected_for_control_cohort,253626,253626,1.0,2
all,scraped,llm_extraction_sample_tier,253626,253626,1.0,3
all,scraped,llm_extraction_reason,253626,253626,1.0,3
all,scraped,llm_extraction_coverage,253626,253626,1.0,4
all,scraped,llm_extraction_resolution,253626,253626,1.0,5
all,scraped,needs_llm_classification,253626,253626,1.0,2
all,scraped,classification_input_hash,253626,222704,0.8780803229952765,222609
all,scraped,llm_classification_sample_tier,253626,253626,1.0,3
all,scraped,llm_classification_reason,253626,253626,1.0,3
all,scraped,swe_classification_llm,253626,21853,0.08616230197219528,3
all,scraped,ghost_assessment_llm,253626,21853,0.08616230197219528,3
all,scraped,yoe_min_years_llm,253626,15899,0.06268679078643356,20
all,scraped,llm_model_classification,253626,21853,0.08616230197219528,1
all,scraped,llm_prompt_version_classification,253626,21853,0.08616230197219528,1
all,scraped,llm_classification_coverage,253626,253626,1.0,4
all,scraped,llm_classification_resolution,253626,253626,1.0,5
swe,kaggle_arshkon,uid,4691,4691,1.0,4691
swe,kaggle_arshkon,job_id,4691,4691,1.0,4691
swe,kaggle_arshkon,source,4691,4691,1.0,1
swe,kaggle_arshkon,source_platform,4691,4691,1.0,1
swe,kaggle_arshkon,site,4691,4691,1.0,1
swe,kaggle_arshkon,title,4691,4691,1.0,2577
swe,kaggle_arshkon,title_normalized,4691,4691,1.0,2162
swe,kaggle_arshkon,company_name,4691,4646,0.9904071626518866,2272
swe,kaggle_arshkon,company_name_normalized,4691,4646,0.9904071626518866,2272
swe,kaggle_arshkon,location,4691,4691,1.0,748
swe,kaggle_arshkon,date_posted,4691,4691,1.0,12
swe,kaggle_arshkon,scrape_date,4691,0,0.0,0
swe,kaggle_arshkon,description,4691,4691,1.0,4664
swe,kaggle_arshkon,description_raw,4691,4691,1.0,4666
swe,kaggle_arshkon,description_length,4691,4691,1.0,3410
swe,kaggle_arshkon,seniority_native,4691,3283,0.6998507780856961,6
swe,kaggle_arshkon,company_industry,4691,4653,0.9918993817949264,163
swe,kaggle_arshkon,company_size,4691,4646,0.9904071626518866,1215
swe,kaggle_arshkon,company_size_raw,4691,4646,0.9904071626518866,1215
swe,kaggle_arshkon,company_size_category,4691,4438,0.9460669366872735,7
swe,kaggle_arshkon,search_query,4691,0,0.0,0
swe,kaggle_arshkon,query_tier,4691,0,0.0,0
swe,kaggle_arshkon,search_metro_id,4691,0,0.0,0
swe,kaggle_arshkon,search_metro_name,4691,0,0.0,0
swe,kaggle_arshkon,search_metro_region,4691,0,0.0,0
