skill,rate_junior,rate_mid,rate_senior,chi2,p_value,n_junior,n_mid,n_senior,p_fdr,sig_fdr,junior_senior_diff
GIT,3.076923076923077,1.9363762102351314,2.22520355292376,0.9748806809694989,0.6141965177972379,130,1446,21616,0.6824405753302644,False,0.8517195239993169
Lambda,0.7692307692307693,1.2448132780082988,1.475758697261288,0.9344350840419753,0.6267437324829194,130,1446,21616,0.6918104574838387,False,-0.7065279280305187
Scripting,3.076923076923077,1.8672199170124482,2.054034048852702,0.9255078914496222,0.6295475163102933,130,1446,21616,0.6918104574838387,False,1.022889028070375
Azure DevOps,1.5384615384615385,1.5214384508990317,1.83660251665433,0.8115292081268908,0.6664670325927704,130,1446,21616,0.7283792705931916,False,-0.2981409781927915
Machine Learning,6.923076923076923,5.532503457814661,5.972427831236121,0.689759160603695,0.7083056422841136,130,1446,21616,0.7698974372653409,False,0.9506490918408019
Data structures,1.5384615384615385,1.2448132780082988,1.5127683197631385,0.6618610413914551,0.7182550711696027,130,1446,21616,0.7723172808275298,False,0.025693218698400022
REST,3.076923076923077,2.835408022130014,3.2244633604737234,0.6687379601484996,0.7157896213875157,130,1446,21616,0.7723172808275298,False,-0.1475402835506463
Technical Writing,0.7692307692307693,1.590594744121715,1.6515544041450776,0.6486093034247966,0.7230299365149924,130,1446,21616,0.7732940497486549,False,-0.8823236349143083
Collaboration,6.923076923076923,7.192254495159059,7.716506291635826,0.6308878768994336,0.7294649648308398,130,1446,21616,0.7743995724360597,False,-0.7934293685589022
C#,8.461538461538462,9.54356846473029,8.951702442635085,0.6244752932623464,0.7318075959520765,130,1446,21616,0.7743995724360597,False,-0.4901639810966234
APIs,2.307692307692308,2.0746887966804977,2.3824944485566246,0.5583252668912101,0.7564168745284106,130,1446,21616,0.7962282889772743,False,-0.07480214086431669
Scrum,4.615384615384616,4.564315352697095,4.97779422649889,0.5235982658287325,0.7696656086692666,130,1446,21616,0.8059325745227923,False,-0.3624096111142743
HTML5,1.5384615384615385,2.4896265560165975,2.5074019245003702,0.49835545700143397,0.7794414321165725,130,1446,21616,0.811918158454763,False,-0.9689403860388317
CSS3,0.7692307692307693,1.4522821576763485,1.4942635085122133,0.47664804607845535,0.7879473366348728,130,1446,21616,0.8165257374454641,False,-0.7250327392814441
Databases,1.5384615384615385,2.2821576763485476,2.086417468541821,0.4508656048773509,0.7981706937699986,130,1446,21616,0.8198850369420168,False,-0.5479559300802823
Maintenance,1.5384615384615385,1.6597510373443984,1.4433752775721687,0.4478179107762097,0.7993879110184663,130,1446,21616,0.8198850369420168,False,0.09508626088936989
Windows,4.615384615384616,3.872752420470263,4.20059215396003,0.4246250892475972,0.8087118995068276,130,1446,21616,0.8252162239865588,False,0.4147924614245859
SOAP,1.5384615384615385,1.6597510373443984,1.8736121391561804,0.41324497610926647,0.8133266325584072,130,1446,21616,0.82571231731818,False,-0.33515060069464186
Android,1.5384615384615385,1.8672199170124482,1.6931902294596597,0.26637098564369655,0.8753027146787956,130,1446,21616,0.8841441562412077,False,-0.15472869099812114
Spring,2.307692307692308,1.9363762102351314,1.910621761658031,0.11244585623677691,0.9453283721234275,130,1446,21616,0.9500787659531934,False,0.39707054603427694
Selenium,1.5384615384615385,1.590594744121715,1.5173945225758698,0.04868440763516372,0.9759516782176734,130,1446,21616,0.9759516782176734,False,0.021067015885668727
