metro_area,period_group,archetype_name,labeled_n,share_of_metro_period
Raleigh-Durham-Chapel Hill,2026,Java Dotnet Web Services,43,0.24571428571428572
Raleigh-Durham-Chapel Hill,2026,AI LLM Platforms,33,0.18857142857142858
Raleigh-Durham-Chapel Hill,2026,Cloud DevOps Infrastructure,24,0.13714285714285715
Raleigh-Durham-Chapel Hill,2026,Embedded Firmware Systems,12,0.06857142857142857
Raleigh-Durham-Chapel Hill,2026,Product Backend Engineering,12,0.06857142857142857
Raleigh-Durham-Chapel Hill,2026,Large Employer Data Platforms,3,0.017142857142857144
Raleigh-Durham-Chapel Hill,2026,Defense Clearance Systems,2,0.011428571428571429
Salt Lake City Metro,2024,Enterprise Application Support,121,0.38412698412698415
Salt Lake City Metro,2024,Defense Clearance Systems,68,0.21587301587301588
Salt Lake City Metro,2024,Java Dotnet Web Services,52,0.16507936507936508
Salt Lake City Metro,2024,Cloud DevOps Infrastructure,29,0.09206349206349207
Salt Lake City Metro,2024,Product Backend Engineering,15,0.047619047619047616
Salt Lake City Metro,2024,Embedded Firmware Systems,15,0.047619047619047616
Salt Lake City Metro,2024,AI LLM Platforms,10,0.031746031746031744
Salt Lake City Metro,2024,Large Employer Data Platforms,5,0.015873015873015872
Salt Lake City Metro,2026,Product Backend Engineering,141,0.2665406427221172
Salt Lake City Metro,2026,AI LLM Platforms,104,0.19659735349716445
Salt Lake City Metro,2026,Cloud DevOps Infrastructure,93,0.17580340264650285
Salt Lake City Metro,2026,Java Dotnet Web Services,81,0.15311909262759923
Salt Lake City Metro,2026,Enterprise Application Support,76,0.14366729678638943
Salt Lake City Metro,2026,Large Employer Data Platforms,20,0.03780718336483932
Salt Lake City Metro,2026,Embedded Firmware Systems,13,0.024574669187145556
Salt Lake City Metro,2026,Defense Clearance Systems,1,0.001890359168241966
San Diego Metro,2024,Enterprise Application Support,88,0.350597609561753
San Diego Metro,2024,Defense Clearance Systems,58,0.23107569721115537
San Diego Metro,2024,Embedded Firmware Systems,45,0.17928286852589642
San Diego Metro,2024,Cloud DevOps Infrastructure,25,0.099601593625498
San Diego Metro,2024,Java Dotnet Web Services,19,0.07569721115537849
San Diego Metro,2024,Product Backend Engineering,8,0.03187250996015936
San Diego Metro,2024,AI LLM Platforms,6,0.02390438247011952
