company_name_canonical,period_year,n,mean_score,mean_sig,mean_em_dash,mean_sent_len,mean_ttr
Google,2026,820,0.057281288799566274,0.3267274045371395,0.03740476889699641,19.812996202550426,0.674886507851437
YO IT Consulting,2026,29,0.05304010305583655,0.7437164973157324,0.1081083255716258,54.78068057391881,0.7443259666014833
Booz Allen Hamilton,2026,338,0.05107899732324089,0.35844041622668316,0.03684137059634417,27.050237473391075,0.6533120932932188
VIZIO,2026,25,0.04824091193270123,0.508514125241184,0.03189422196805965,20.510659954384,0.6959401428245292
SMX,2026,27,0.04486820008149278,0.801884407253351,0.0,31.548173056225462,0.6935442655637979
Cognizant,2026,61,0.04431584836845396,0.4606236389413634,0.04739591268428801,26.877731426399297,0.6906192155099655
Torc Robotics,2026,33,0.04411636670599417,0.1635223716303765,0.199781684984103,27.7234938568835,0.6746957000418239
"BAE Systems, Inc.",2026,140,0.043878946582737326,0.2130599098196628,0.23288638558543281,24.40560456586027,0.6890835877334707
CBRE,2026,58,0.04113198063130632,0.30264532821031653,0.13495871539663126,18.815716506446737,0.6928620350925335
Transamerica,2026,21,0.040000344277168594,0.3820935888289296,0.2262776694011138,24.233930650005725,0.7152777777777778
Capital One,2026,247,0.03911980902712004,0.45458547731073823,0.07071626501816618,32.35184070309584,0.6647255191334486
HTC Global Services,2026,24,0.03726501402479301,0.7609084062855893,0.042548950064169415,34.79732867855089,0.6783195111667996
LinkedIn,2026,81,0.03687859004858629,0.37630920311229776,0.031107149040250037,25.565005960583278,0.6892367565094054
IBM,2026,90,0.03447681487363833,0.44668473504931333,0.0317882409109259,25.98982779301746,0.6851289770464756
General Dynamics Mission Systems,2026,70,0.033364726168220636,0.5160466004111297,0.01029230135858378,23.824175302686406,0.6704646260884514
Hewlett Packard Enterprise,2026,21,0.033334851240169085,0.4851800153597688,0.13036529258670365,24.26292371587961,0.7112981563716578
SoTalent,2026,21,0.03267865215812118,0.5202489181955356,0.24764008832859355,42.7587823498938,0.7484229160717949
Agoda,2026,26,0.030617499721639622,0.4022322540972312,0.15637272931987892,31.560038228106457,0.675527847332643
Rivago Infotech Inc,2026,21,0.020244270495822773,0.3880304994526724,0.10030647646738719,40.71154740159245,0.7242460517668364
Amazon,2026,376,0.019138989335619215,0.4692559165507667,0.07928394351944408,28.35785223825808,0.6951891323004111
ByteDance,2026,124,0.016282431683079916,0.3267024139526516,0.00478267941812586,24.85108447088905,0.6783878046463255
Aurora,2026,23,0.013915898222171265,0.3038460039229075,0.15647998518639888,25.70759655096313,0.7039657644338121
Uber,2026,201,0.012370236423849977,0.3230955206395314,0.0,22.90527181784441,0.6745329549986623
Turing,2026,42,0.010869165582552852,0.2210809324537139,0.5333015821890001,26.227000017178586,0.7804659209579847
Bloomberg,2026,82,0.010731390377272698,0.5614614048689242,0.07038792356775195,31.920318934171398,0.7166609958483349
WayUp,2026,21,0.008587129428634422,0.3007356686473387,0.03132913051819894,21.745281107893955,0.6798750536560532
NLB Services,2026,29,0.008522154412731832,0.25850349425248925,0.017389187403272645,50.834496188761165,0.7202478860164956
myGwork - LGBTQ+ Business Community,2026,128,0.006081954960534683,0.4400924704842123,0.060557114777283046,27.039364229689166,0.6907309666644531
Cadence,2026,36,0.004900528944420053,0.32919555266876865,0.042949901497578345,25.900227133621165,0.6871352767656841
SGS Consulting,2026,22,0.004323996670771842,0.2909437714354417,0.0,57.180921459390355,0.7338967417298519
Jobot,2026,97,0.0031051046949683845,0.5167354957940665,0.06578464638482762,19.77853164386699,0.7019136674937411
Rivian,2026,36,-0.0034825003569648023,0.43293078046588607,0.024045895300728815,27.467028988707128,0.70420403712339
Fidelity Investments,2026,54,-0.004059284889974487,0.3565416546003337,0.09917066650828257,27.7628858416796,0.6924624911828943
Citigroup,2026,84,-0.0052224334974289716,0.4071656183058158,0.0021111477043379862,27.86833104595209,0.678731809591361
FieldAI,2026,28,-0.005726481625944158,0.702417996894345,0.0726346945933393,30.18951669457037,0.7140503013087635
Collins Aerospace,2026,55,-0.0066743987741367874,0.2572978379004395,0.1869164477091432,23.426792568258502,0.6940536957088044
Tata Consultancy Services,2026,142,-0.007906240904917849,0.4162950379441261,0.026398959710804047,32.29107745135672,0.7190217400238573
Westinghouse Electric Company,2026,21,-0.008832353546338882,0.4426633732596632,0.02183859097411035,26.377554486345286,0.6947237920935019
hackajob,2026,263,-0.008990062940686782,0.49686168660927776,0.06863518325285943,27.51791091881138,0.708417736561288
"TalentBurst, an Inc 5000 company",2026,23,-0.009503990810904021,0.6520368501591726,0.04187578327337716,27.72152591879098,0.7257600693436904
Expedia Group,2026,63,-0.0096149207262873,0.5620208687077994,0.05311160177798745,22.804341916881445,0.7173388874857083
Virtusa,2026,40,-0.00968118680263728,0.4222729450314334,0.05606708515800009,32.22468868177148,0.7293549153369367
Mindlance,2026,28,-0.011016126225418296,0.2484386520289757,0.030661373719778933,57.24232097541243,0.7346159868456882
Talent Groups,2026,31,-0.013632415860663683,0.18691890576786982,0.069014788266314,53.84833687817559,0.7144795151741442
