company_name_canonical,mean_score_2024,mean_score_2026,n_2024,n_2026,score_delta
"TalentBurst, an Inc 5000 company",0.2132283177731956,-0.009503990810904021,6.0,23.0,-0.22273230858409962
Adobe,0.556661236994922,0.3336716013013824,18.0,138.0,-0.22298963569353958
CGI,0.11096989108678439,-0.11573710927590573,23.0,88.0,-0.22670700036269012
Luxoft,0.019314343676256226,-0.20882792648202636,17.0,11.0,-0.2281422701582826
Talener,0.01872318111953793,-0.21693615502697133,6.0,7.0,-0.23565933614650927
Raas Infotek,-0.10985957037633762,-0.356891998538348,9.0,33.0,-0.2470324281620104
Matlen Silver,-0.07440402858159113,-0.3254070047820712,12.0,29.0,-0.25100297620048007
NLB Services,0.26089844565034087,0.008522154412731832,9.0,29.0,-0.252376291237609
Aditi Consulting,0.07294493792356367,-0.1827270441481167,28.0,36.0,-0.25567198207168035
"Zodiac Solutions, Inc",-0.2422518319474169,-0.4995709335426894,8.0,7.0,-0.2573191015952725
FanDuel,0.17739783015155536,-0.08258386088078924,5.0,15.0,-0.2599816910323446
"LanceSoft, Inc.",-0.025090950936379936,-0.29104474401275665,15.0,13.0,-0.26595379307637673
HCLTech,0.016028072410215276,-0.2531372947202167,17.0,19.0,-0.26916536713043193
Photon,-0.0715532100168635,-0.35675789040637285,50.0,18.0,-0.28520468038950936
InfoVision Inc.,-0.02234177596225131,-0.3196149911919643,8.0,19.0,-0.297273215229713
BLUE ORIGIN,0.370675446848114,0.07061351890202607,106.0,91.0,-0.30006192794608794
CyberCoders,0.22045822080449176,-0.07997510688979831,97.0,136.0,-0.3004333276942901
MetroStar,0.18028761568603968,-0.13168697910036278,6.0,45.0,-0.31197459478640244
"Pyramid Consulting, Inc",-0.3181886018650485,-0.6342192912105503,8.0,25.0,-0.3160306893455018
Wipro,0.1127572914896009,-0.20559877759825207,18.0,22.0,-0.31835606908785297
Aurora,0.3337527185759893,0.013915898222171265,8.0,23.0,-0.31983682035381805
Capgemini Engineering,0.050246163153221925,-0.27249802385598204,17.0,7.0,-0.322744187009204
KLA,-0.04201200267584437,-0.3675180295580081,24.0,22.0,-0.32550602688216373
OSI Engineering,0.28453566680902226,-0.054075863922384476,6.0,17.0,-0.3386115307314067
Harvey Nash,-0.05877227483914589,-0.3984762262523495,5.0,6.0,-0.33970395141320364
SPAR Information Systems LLC,-0.23124808291272236,-0.576325855585848,8.0,9.0,-0.34507777267312567
Freeform,0.18742175045692733,-0.1597248753476008,7.0,12.0,-0.34714662580452815
Ledgent Technology,-0.10506606753597798,-0.48806944877128783,17.0,37.0,-0.38300338123530986
Ztek Consulting,0.054473258002561954,-0.3421898162710403,5.0,17.0,-0.39666307427360226
Ampcus Inc,-0.054111028398660777,-0.48550311366779036,5.0,21.0,-0.4313920852691296
Purple Drive Technologies LLC,0.009584663543590244,-0.42282747550380634,5.0,8.0,-0.43241213904739656
Info Way Solutions,-0.01594705649335283,-0.464539266022812,6.0,13.0,-0.44859220952945916
Belcan,-0.08156249647503305,-0.540334013478396,21.0,5.0,-0.458771517003363
LTIMindtree,0.13820075106433927,-0.3766425254190151,14.0,17.0,-0.5148432764833544
"Syms Strategic Group, LLC (SSG)",-0.3927561362219228,-0.9158018387304921,118.0,32.0,-0.5230457025085693
Macquarie Group,0.6571905108103686,0.11799050713488338,5.0,5.0,-0.5392000036754853
Agoda,0.5860144415567256,0.030617499721639622,11.0,26.0,-0.5553969418350859
"Conch Technologies, Inc",0.2977585656953499,-0.26451272701288336,68.0,16.0,-0.5622712927082333
SciTec,0.1155138730990467,-0.46288343613903865,8.0,14.0,-0.5783973092380854
The Intersect Group,0.22427613108477223,-0.35613007710807165,5.0,5.0,-0.5804062081928438
Avid Technology Professionals,0.30445569901374486,-0.2995670423597993,8.0,12.0,-0.6040227413735442
Hexaware Technologies,0.3022531273685883,-0.3712221534178754,9.0,6.0,-0.6734752807864637
"Metasys Technologies, Inc.",0.4953624407660113,-0.4301545293770254,6.0,7.0,-0.9255169701430368
