period,company_name_canonical,n_postings,mean_pairwise_cosine,median_pairwise_cosine,saturation_flag
2024,Apex Systems,72,0.06969208257652078,0.06022113715516022,False
2024,Lorven Technologies Inc.,24,0.06943359904506156,0.05853049603860502,False
2024,Talent Groups,15,0.06939267509407147,0.044672596646862246,False
2024,NR Consulting,53,0.06849348246045557,0.05754713444113291,False
2024,Intellectt Inc,77,0.06805689772108649,0.048817607031848106,False
2024,VRK IT Vision Inc.,36,0.06664986232050783,0.054324779355026845,False
2024,Selby Jennings,30,0.06574909851671275,0.05101578749222638,False
2024,Hermitage Infotech,16,0.06423532773739977,0.0483241385356261,False
2024,Net2Source Inc.,23,0.06350360447382761,0.05377851372876713,False
2024,Wise Skulls,18,0.0629183646518918,0.060010399587269496,False
2024,Motion Recruitment,108,0.06257365392889257,0.04855276684164717,False
2024,Diverse Lynx,83,0.06199018477845261,0.04305306178280371,False
2024,Akkodis,42,0.05891816502481092,0.045050914755238584,False
2024,Accroid Inc,42,0.05759676633268223,0.042735754366377304,False
2024,Insight Global,60,0.0549360295919664,0.045060758864878855,False
2024,eTeam,18,0.05260428008803848,0.04672384331667704,False
2024,Tata Consultancy Services,65,0.05174311637415265,0.03853681341498339,False
2024,"The Dignify Solutions, LLC",27,0.05105479328785538,0.04001538315324365,False
2026,"Syms Strategic Group, LLC (SSG)",20,0.8905299891583223,0.9701407217465272,True
2026,Synchrony,18,0.7044960660277618,0.6647249932517,False
2026,Turing,22,0.6434065665956751,0.7120779650489724,False
2026,DataAnnotation,42,0.52259233258451,0.5544161800159056,False
2026,Pure Storage,19,0.32085017350756184,0.10747674296271947,False
2026,Garmin,26,0.3168413508488813,0.26210383207160093,False
2026,"Akina, Inc",47,0.31382232122971504,0.15202855636280657,False
2026,Capital One,151,0.3019957741774644,0.15474315734233127,False
2026,Equifax,20,0.29652484252063804,0.1587023768924733,False
2026,Base-2 Solutions,19,0.2917772436954437,0.18627946566172443,False
2026,General Atomics Aeronautical Systems,15,0.29012615035095896,0.22791145326102527,False
2026,CBRE,25,0.28867610003623834,0.21790930566606614,False
