metric,period_year,period,seniority_final,rows,nonnull_rows,missing_share,mean,stddev,min_value,p01,p05,p25,p50,p75,p95,p99,max_value,zero_share
scrape_week,2026,2026-03,entry,721,721,0.0,12.87378640776699,0.6163451449052926,12.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,14.0,0.0
scrape_week,2026,2026-03,mid-senior,8454,8454,0.0,12.914123491838183,0.6156265550278641,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,0.0
scrape_week,2026,2026-03,unknown,10425,10425,0.0,12.919904076738609,0.5996385378397493,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,0.0
scrape_week,2026,2026-04,associate,25,25,0.0,14.48,0.6531972647421816,14.0,14.0,14.0,14.0,14.0,15.0,15.799999999999997,16.0,16.0,0.0
scrape_week,2026,2026-04,director,145,145,0.0,14.641379310344828,0.5854231858351788,14.0,14.0,14.0,14.0,15.0,15.0,15.799999999999983,16.0,16.0,0.0
scrape_week,2026,2026-04,entry,554,554,0.0,14.723826714801444,0.6431521146760967,14.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0,16.0,0.0
scrape_week,2026,2026-04,mid-senior,8964,8964,0.0,14.64524765729585,0.6189653481579779,14.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0,16.0,0.0
scrape_week,2026,2026-04,unknown,11416,11416,0.0,14.682901191310442,0.6465720324348466,14.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0,16.0,0.0
yoe_min_years_llm,2024,2024-01,associate,24,17,0.29166666666666663,3.4705882352941178,2.2944946899814216,0.0,0.16,0.8,2.0,3.0,5.0,7.0,7.0,7.0,0.041666666666666664
yoe_min_years_llm,2024,2024-01,director,92,12,0.8695652173913043,5.833333333333333,2.949062511539845,2.0,2.11,2.55,4.0,5.0,7.25,10.899999999999999,11.780000000000001,12.0,0.0
yoe_min_years_llm,2024,2024-01,entry,204,67,0.6715686274509804,2.1791044776119404,1.6323005993060222,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,5.0,0.05392156862745098
yoe_min_years_llm,2024,2024-01,mid-senior,11426,797,0.9302468055312445,6.933500627352572,3.521555220697843,0.0,0.96,2.0,5.0,6.0,9.0,14.0,20.0,20.0,0.0007001575354454753
yoe_min_years_llm,2024,2024-01,unknown,6383,3056,0.521228262572458,5.143979057591623,3.1398734019461125,0.0,1.0,2.0,3.0,5.0,6.0,10.0,20.0,20.0,0.0028199906000313333
yoe_min_years_llm,2024,2024-04,associate,15,13,0.1333333333333333,3.0,2.5495097567963922,0.0,0.12,0.6000000000000001,2.0,2.0,4.0,8.0,8.0,8.0,0.06666666666666667
yoe_min_years_llm,2024,2024-04,director,13,1,0.9230769230769231,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
yoe_min_years_llm,2024,2024-04,entry,175,63,0.64,1.4285714285714286,1.0428602992187572,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,0.07428571428571429
yoe_min_years_llm,2024,2024-04,mid-senior,2064,311,0.8493217054263567,6.784565916398714,2.8537275659461625,1.0,2.0,3.0,5.0,6.0,8.0,12.0,15.0,15.0,0.0
yoe_min_years_llm,2024,2024-04,unknown,2424,1710,0.2945544554455446,4.739766081871345,2.562409530456554,0.0,1.0,2.0,3.0,5.0,6.0,10.0,12.0,20.0,0.004537953795379538
yoe_min_years_llm,2026,2026-03,associate,27,19,0.2962962962962963,2.9473684210526314,1.6823820483841199,0.0,0.18,0.9,2.0,3.0,4.5,5.099999999999998,5.82,6.0,0.037037037037037035
yoe_min_years_llm,2026,2026-03,director,150,16,0.8933333333333333,6.375,2.84897642437888,1.0,1.15,1.75,5.0,6.0,8.5,10.0,10.0,10.0,0.0
yoe_min_years_llm,2026,2026-03,entry,721,77,0.8932038834951457,1.6103896103896105,1.702597428666319,0.0,0.0,0.0,1.0,1.0,2.0,5.400000000000006,7.0,7.0,0.024965325936199722
yoe_min_years_llm,2026,2026-03,mid-senior,8454,368,0.9564703099124675,5.809782608695652,2.687484760800185,1.0,1.0,2.0,4.0,5.0,8.0,10.0,14.0,15.0,0.0
yoe_min_years_llm,2026,2026-03,unknown,10425,2175,0.7913669064748201,4.280459770114943,2.504909580329304,0.0,1.0,2.0,3.0,4.0,5.0,10.0,12.259999999999764,20.0,0.0017266187050359713
yoe_min_years_llm,2026,2026-04,associate,25,23,0.07999999999999996,2.4347826086956523,1.5023038960368273,0.0,0.0,0.0,2.0,2.0,3.0,5.0,5.780000000000001,6.0,0.12
yoe_min_years_llm,2026,2026-04,director,145,5,0.9655172413793104,6.6,3.361547262794322,1.0,1.24,2.2,7.0,7.0,8.0,9.6,9.92,10.0,0.0
yoe_min_years_llm,2026,2026-04,entry,554,80,0.855595667870036,1.3375,1.2421271057486198,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.209999999999994,5.0,0.039711191335740074
yoe_min_years_llm,2026,2026-04,mid-senior,8964,384,0.9571619812583668,6.40625,2.9727329163863843,0.0,2.0,2.0,5.0,5.0,8.0,12.0,15.0,16.0,0.00011155734047300312
yoe_min_years_llm,2026,2026-04,unknown,11416,2149,0.8117554309740715,4.489064681247092,2.683055407956474,0.0,0.0,2.0,3.0,4.0,5.0,10.0,14.0,20.0,0.0020147161878065873
