column,source,source_platform,subset,non_null_rate
date_flag,kaggle_asaniczka,linkedin,swe,1.0
date_flag,scraped,indeed,all,1.0
date_flag,scraped,indeed,swe,1.0
date_flag,scraped,linkedin,all,1.0
date_flag,scraped,linkedin,swe,1.0
is_english,kaggle_arshkon,linkedin,all,0.999805249788315
is_english,kaggle_arshkon,linkedin,swe,0.9997846220116304
is_english,kaggle_asaniczka,linkedin,all,0.9591614491787238
is_english,kaggle_asaniczka,linkedin,swe,0.9624230786016672
is_english,scraped,indeed,all,1.0
is_english,scraped,indeed,swe,1.0
is_english,scraped,linkedin,all,0.9998510408520463
is_english,scraped,linkedin,swe,1.0
description_hash,kaggle_arshkon,linkedin,all,0.9999407281964436
description_hash,kaggle_arshkon,linkedin,swe,1.0
description_hash,kaggle_asaniczka,linkedin,all,0.9592851766043716
description_hash,kaggle_asaniczka,linkedin,swe,0.962466721948239
description_hash,scraped,indeed,all,1.0
description_hash,scraped,indeed,swe,1.0
description_hash,scraped,linkedin,all,0.9998882806390348
description_hash,scraped,linkedin,swe,1.0
ghost_job_risk,kaggle_arshkon,linkedin,all,1.0
ghost_job_risk,kaggle_arshkon,linkedin,swe,1.0
ghost_job_risk,kaggle_asaniczka,linkedin,all,1.0
ghost_job_risk,kaggle_asaniczka,linkedin,swe,1.0
ghost_job_risk,scraped,indeed,all,1.0
ghost_job_risk,scraped,indeed,swe,1.0
ghost_job_risk,scraped,linkedin,all,1.0
ghost_job_risk,scraped,linkedin,swe,1.0
description_quality_flag,kaggle_arshkon,linkedin,all,1.0
description_quality_flag,kaggle_arshkon,linkedin,swe,1.0
description_quality_flag,kaggle_asaniczka,linkedin,all,1.0
description_quality_flag,kaggle_asaniczka,linkedin,swe,1.0
description_quality_flag,scraped,indeed,all,1.0
description_quality_flag,scraped,indeed,swe,1.0
description_quality_flag,scraped,linkedin,all,1.0
description_quality_flag,scraped,linkedin,swe,1.0
preprocessing_version,kaggle_arshkon,linkedin,all,1.0
preprocessing_version,kaggle_arshkon,linkedin,swe,1.0
preprocessing_version,kaggle_asaniczka,linkedin,all,1.0
preprocessing_version,kaggle_asaniczka,linkedin,swe,1.0
preprocessing_version,scraped,indeed,all,1.0
preprocessing_version,scraped,indeed,swe,1.0
preprocessing_version,scraped,linkedin,all,1.0
preprocessing_version,scraped,linkedin,swe,1.0
dedup_method,kaggle_arshkon,linkedin,all,1.0
dedup_method,kaggle_arshkon,linkedin,swe,1.0
dedup_method,kaggle_asaniczka,linkedin,all,1.0
dedup_method,kaggle_asaniczka,linkedin,swe,1.0
dedup_method,scraped,indeed,all,1.0
dedup_method,scraped,indeed,swe,1.0
dedup_method,scraped,linkedin,all,1.0
dedup_method,scraped,linkedin,swe,1.0
boilerplate_removed,kaggle_arshkon,linkedin,all,1.0
boilerplate_removed,kaggle_arshkon,linkedin,swe,1.0
boilerplate_removed,kaggle_asaniczka,linkedin,all,1.0
boilerplate_removed,kaggle_asaniczka,linkedin,swe,1.0
boilerplate_removed,scraped,indeed,all,1.0
boilerplate_removed,scraped,indeed,swe,1.0
boilerplate_removed,scraped,linkedin,all,1.0
boilerplate_removed,scraped,linkedin,swe,1.0
